ATLASSIAN CORP.,200.13,+1.32%,194.97,200.52,192.60,"303,527"
DOLLAR TREE INC.,106.74,+1.32%,105.73,106.92,104.69,"498,837"
CSX CORP.,30.65,+1.22%,30.28,30.76,30.22,"2,855,583"
MERCADOLIBRE INC.,"1,271.28",+1.17%,"1,250.85","1,277.38","1,240.01","79,201"
CHECK POINT SOFTWARE TECHNOLOGIES,134.29,+1.12%,132.17,134.49,132.13,"107,731"
SYMBOTIC INC.,32.85,+1.08%,32.77,33.44,32.11,"180,220"
COSTAR GROUP INC.,77.14,+1.03%,76.56,77.40,76.10,"162,842"
COMCAST CORP.,45.06,+1.03%,44.69,45.24,44.64,"3,677,183"
COSTCO WHOLESALE,569.20,+1.01%,564.07,572.18,564.07,"607,276"
HUNTINGTON BANCSHARES INC.,10.22,+0.99%,10.17,10.32,10.13,"6,056,356"
SBA COMMUNICATIONS,198.01,+0.99%,196.09,198.82,195.98,"287,558"
TRACTOR SUPPLY CO.,204.83,+0.90%,205.25,205.59,202.71,"160,064"
BAKER HUGHES COMPANY,36.57,+0.88%,36.25,36.85,36.20,"2,100,608"
EXPEDITORS INTERNATIONAL OF WASHINGTON,114.66,+0.88%,113.62,114.92,113.02,"192,091"
ADOBE INC.,506.93,+0.86%,500.00,508.67,499.25,"684,010"
VERISK ANALYTICS INC.,241.58,+0.81%,239.80,242.32,239.80,"160,221"
O REILLY AUTOMOTIVE INC.,921.40,+0.79%,915.85,921.40,912.13,"53,714"
ARCH CAPITAL GROUP,81.71,+0.78%,81.34,82.11,81.12,"313,585"
PAYCHEX INC.,117.40,+0.76%,117.15,118.65,116.94,"516,681"
BAIDU INC. ADS,132.52,+0.75%,131.39,132.84,130.99,"428,153"
LIBERTY MEDIA CORP.,61.90,+0.73%,61.13,62.25,60.95,"161,610"
PDD HOLDINGS INC. ADS,95.67,+0.71%,93.89,95.98,93.88,"1,812,556"
AXON ENTERPRISE INC.,196.01,+0.70%,193.41,196.01,191.60,"54,161"
STEEL DYNAMICS INC.,107.09,+0.61%,106.65,107.17,105.38,"249,561"
J.B. HUNT TRANSPORT SERVICES,186.69,+0.59%,185.77,187.00,184.02,"185,715"
MICROSOFT CORP.,314.59,+0.58%,310.99,315.48,309.45,"7,309,706"
APPLE INC.,171.36,+0.55%,169.34,172.03,167.62,"27,234,168"
DRAFTKINGS INC.,29.18,+0.55%,29.12,29.40,28.48,"4,525,898"
AKAMAI TECHNOLOGIES INC.,107.50,+0.50%,106.59,107.94,106.19,"287,786"
AUTOMATIC DATA PROCESSING INC.,243.81,+0.49%,242.29,244.40,242.29,"213,466"
ENPHASE ENERGY INC.,120.66,+0.46%,120.90,121.78,116.35,"1,602,275"
FIFTH THIRD BANCORP,24.97,+0.44%,24.53,25.16,24.52,"1,898,014"
RYANAIR HOLDINGS PLC ADS,97.90,+0.41%,96.57,98.90,95.39,"247,745"
TRADEWEB MARKETS INC.,80.29,+0.39%,80.21,81.21,79.78,"147,686"
ROPER TECHNOLOGIES INC.,488.31,+0.35%,486.63,488.65,484.40,"58,269"
LULULEMON ATHLETICA INC.,380.40,+0.33%,381.55,382.15,375.62,"253,562"
WILLIS TOWERS WATSON PUBLIC,212.31,+0.33%,211.68,213.30,211.55,"332,767"
HONEYWELL INTERNATIONAL INC.,188.48,+0.32%,187.73,188.98,186.69,"455,926"
T-MOBILE US INC.,140.09,+0.28%,140.23,140.76,139.22,"747,555"
CME GROUP INC.,200.90,+0.27%,200.68,201.87,199.86,"319,119"
AMAZON.COM INC.,126.28,+0.24%,124.04,126.58,123.04,"27,654,664"
SPLUNK INC.,146.90,+0.23%,146.50,147.00,146.43,"953,123"
FIRST CITIZENS BANCSHARES INC.,"1,370.36",+0.13%,"1,364.70","1,386.07","1,364.24","2,160"
MONSTER BEVERAGE,53.19,+0.13%,53.24,53.50,53.05,"947,518"
BOOKING HOLDINGS INC.,"3,084.76",+0.07%,"3,082.66","3,107.13","3,061.68","34,118"
